model,AggregationKind,Cardinality,Class,Classifier,ClassStereotype,ClassView,ConnectorView,DecoratableElement,Diagram,DiagramElement,ElementView,Generalization,GeneralizationSet,GeneralizationSetView,GeneralizationView,Literal,ModelElement,NodeView,Note,NoteView,OntologicalNature,OntoumlElement,Package,PackageView,Path,Point,Project,Property,PropertyStereotype,Rectangle,RectangularShape,Relation,RelationStereotype,RelationView,Shape,Stereotype,Text,Class_isExtensional_True,Class_isExtensional_False,Class_isPowertype_True,Class_isPowertype_False,Class_isAbstract_True,Class_isAbstract_False,Class_isDerived_True,Class_isDerived_False,Relation_isAbstract_True,Relation_isAbstract_False,Relation_isDerived_True,Relation_isDerived_False,GeneralizationSet_isComplete_True,GeneralizationSet_isComplete_False,GeneralizationSet_isDisjoint_True,GeneralizationSet_isDisjoint_False,Property_isOrdered_True,Property_isOrdered_False,Property_isReadOnly_True,Property_isReadOnly_False,Property_isDerived_True,Property_isDerived_False
genealogy2013,0,8,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,6,0,8,0,8,0,8,0,4,1,3,0,0,0,0,0,8,2,6,0,8
gi2mo,0,128,68,0,0,0,0,0,0,0,0,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,63,0,0,0,0,0,0,34,0,68,0,68,0,68,0,63,11,52,4,3,6,1,0,128,30,98,0,128
gomes2022digital-technology,0,32,19,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,18,0,0,0,0,0,0,18,0,19,0,19,0,19,0,18,0,18,0,0,0,0,0,36,6,30,0,36
goncalves2011ecg,0,264,133,0,0,0,0,0,0,0,0,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,165,0,0,0,0,0,0,65,0,133,2,131,0,133,0,165,18,147,5,9,13,1,0,339,92,247,0,339
grueau2013towards,0,6,13,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,13,0,13,0,13,0,3,0,3,0,0,0,0,0,6,0,6,0,6
guarino2016value,0,74,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,37,0,0,0,0,0,0,7,0,18,0,18,0,18,0,37,0,37,0,0,0,0,0,74,26,48,0,74
guarino2018rea,0,24,11,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,12,0,0,0,0,0,0,6,0,11,4,7,0,11,0,12,0,12,1,0,1,0,0,24,4,20,0,24
guizzardi2005ontological,0,50,43,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,25,0,0,0,0,0,1,23,0,43,11,32,0,43,0,25,6,19,1,0,1,0,0,53,8,45,0,53
guizzardi2014nfr,0,22,18,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,11,0,0,0,0,0,0,0,0,18,0,18,0,18,0,11,0,11,0,2,2,0,0,22,0,22,0,22
guizzardi2020decision-making,0,122,54,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,61,0,0,0,0,0,0,7,0,54,7,47,0,54,0,61,0,61,0,0,0,0,0,122,42,80,0,122
guizzardi2022ufo,0,83,62,0,0,0,0,0,0,0,0,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,40,0,0,0,0,0,0,29,0,62,0,62,0,62,0,40,1,39,6,2,6,2,0,83,24,59,0,83
haridy2021egyptian-e-government,0,32,32,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,16,0,0,0,0,0,0,16,0,32,0,32,0,32,0,16,0,16,0,0,0,0,0,32,17,15,0,32
health-organizations,0,26,24,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,13,0,0,0,0,0,0,17,0,24,0,24,0,24,0,13,1,12,0,3,3,0,0,26,3,23,0,26
heirbrant2023boekbazaar,0,116,42,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,59,0,0,0,0,0,0,4,0,42,8,34,0,42,0,59,1,58,1,1,1,1,0,240,5,235,0,240
idaf2013,0,56,46,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,28,0,0,0,0,0,0,38,0,46,2,44,0,46,0,28,0,28,0,0,0,0,0,56,9,47,0,56
internal-affairs2013,0,108,61,0,0,0,0,0,0,0,0,35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,54,0,0,0,0,0,0,38,0,61,0,61,0,61,0,54,8,46,7,2,0,9,0,108,22,86,0,108
internship,0,34,26,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,17,0,0,0,0,0,0,15,0,26,0,26,0,26,0,17,1,16,4,0,4,0,0,36,14,22,0,36
it-infrastructure,0,30,31,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,15,0,0,0,0,0,0,18,0,31,0,31,0,31,0,15,0,15,3,3,6,0,0,30,0,30,0,30
jacobs2022sdpontology,0,11,34,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,22,0,0,0,0,0,0,4,0,34,1,33,0,34,0,22,0,22,0,0,0,0,0,60,0,60,0,60
junior2018o4c,0,17,11,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,2,0,11,0,11,0,11,0,5,1,4,2,0,2,0,0,17,2,15,0,17
khantong2020ontology,0,44,30,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,22,0,0,0,0,0,0,17,0,30,0,30,0,30,0,22,0,22,0,0,0,0,0,44,0,44,0,44
kostov2017towards,0,70,58,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,35,0,0,0,0,0,0,10,0,58,0,58,0,58,0,35,0,35,0,0,0,0,0,70,0,70,0,70
kritz2020ontobg,0,140,179,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,70,0,0,0,0,0,0,53,0,179,6,173,0,179,0,70,0,70,0,0,0,0,0,140,18,122,0,140
laurier2018rea,0,36,23,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,18,0,0,0,0,0,0,10,0,23,6,17,0,23,0,18,0,18,0,0,0,0,0,36,0,36,0,36
library,0,90,43,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,45,0,0,0,0,0,0,22,0,43,0,43,0,43,0,45,1,44,0,0,0,0,0,90,39,51,0,90
lindeberg2022full-ontorights,0,214,190,0,0,0,0,0,0,0,0,155,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,115,0,0,0,0,0,0,114,0,190,0,190,0,190,0,115,6,109,27,2,28,1,0,230,76,154,0,230
lindeberg2022simple-ontorights,0,121,61,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,67,0,0,0,0,0,0,11,0,61,0,61,0,61,0,67,1,66,2,0,2,0,1,343,38,306,5,339
machacova2023gym,0,42,41,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,21,0,0,0,0,0,0,22,0,41,0,41,0,41,0,21,3,18,5,2,7,0,0,51,14,37,0,51
maddalena2021ontocovid,0,144,74,0,0,0,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,72,0,0,0,0,0,0,47,0,74,1,73,0,74,0,72,0,72,0,9,0,9,0,147,16,131,0,147
martinez2013human-genome,0,30,10,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,15,0,0,0,0,0,0,7,0,10,0,10,0,10,0,15,3,12,1,0,1,0,1,29,6,24,0,30
mello2022monotheism,0,44,48,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,22,0,0,0,0,0,0,0,0,48,0,48,0,48,0,22,0,22,0,2,0,2,0,47,0,47,0,47
mgic-antt2011,0,6108,5231,0,0,0,0,0,0,0,0,3607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6906,0,0,0,3054,0,0,0,0,0,0,2373,0,5231,56,5175,64,5167,0,3054,73,2981,0,0,0,0,0,6906,1209,5697,0,6906
moreira2018saref4health,0,24,19,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,10,0,0,0,0,0,0,8,0,19,1,18,0,19,0,10,0,10,0,0,0,0,0,26,4,22,0,26
